Open,High,Low,Close,Volume
9509.07,9535.0,9503.07,9517.75,381.293856
9535.84,9554.88,9525.3,9530.43,583.603684
9528.75,9552.29,9526.96,9541.88,452.30951
9542.24,9576.83,9537.69,9567.87,510.042282
9567.87,9577.8,9542.0,9558.25,508.236202
9558.25,9714.28,9557.78,9665.0,2503.623369
9665.0,9687.02,9637.67,9682.35,1182.319302
9684.58,9714.0,9655.0,9663.02,1142.039667
9663.02,9685.0,9660.0,9684.85,560.155887
9684.85,9684.85,9620.02,9637.35,845.726029
9609.3,9650.55,9607.4,9634.43,630.003741
9634.82,9647.51,9562.84,9624.64,793.149766
9624.17,9648.97,9502.21,9563.32,1127.641481
9563.32,9603.84,9555.24,9598.52,416.46097
9598.87,9617.69,9533.0,9556.7,615.720752
9554.78,9576.36,9520.0,9537.08,335.418544
9535.22,9554.47,9512.66,9543.45,390.559898
9542.76,9585.0,9540.56,9577.14,321.312114
9577.62,9600.0,9576.0,9588.94,229.479967
9592.74,9629.0,9548.27,9561.64,1548.199105
9561.76,9595.01,9561.43,9582.1,300.671317
9580.19,9587.69,9555.67,9574.21,166.478904
9560.0,9588.0,9530.0,9536.53,1445.116029
9524.81,9564.86,9514.0,9560.0,1189.703198
9638.33,9645.0,9577.78,9612.55,974.530048
9500.97,9564.86,9450.0,9515.9,2684.206349
9512.63,9555.0,9503.0,9522.9,618.732809
9517.03,9539.0,9507.0,9532.58,258.514869
9533.59,9534.0,9500.0,9500.25,275.79727
9500.25,9514.46,9460.71,9465.25,485.21847
9465.25,9488.94,9430.01,9460.42,498.669626
9461.73,9470.46,9402.0,9425.55,1877.784054
9425.6,9453.58,9403.0,9431.45,598.190032
9441.04,9460.9,9430.0,9446.96,402.342068
9446.96,9454.97,9445.0,9445.13,325.970139
9445.55,9454.41,9427.0,9431.0,1215.186589
9431.0,9474.03,9427.06,9452.89,486.20122
9431.49,9449.83,9425.0,9441.29,297.39072
9505.42,9526.0,9465.35,9502.93,414.756924
9486.67,9530.0,9486.02,9504.77,614.876086
9503.02,9513.59,9488.71,9491.1,360.890993
9491.1,9508.89,9480.22,9501.29,296.477022
9501.29,9521.94,9495.0,9498.04,235.070128
9498.26,9498.3,9460.02,9478.31,355.872605
9478.31,9495.0,9468.62,9491.13,188.06074
9491.13,9500.26,9477.64,9487.43,256.511633
9487.64,9510.0,9485.84,9505.43,284.264346
9451.4,9492.7,9450.43,9486.09,351.58852
9965.86,10028.24,9935.98,9991.44,915.735633
9982.99,10005.68,9931.0,9965.88,1184.439428
10049.7,10109.8,9973.5,9982.99,2017.552265
10035.31,10086.79,10022.35,10049.64,1632.284404
9829.54,9879.24,9823.0,9852.84,903.819611
9949.45,9979.88,9933.13,9939.33,981.153886
9955.19,10019.89,9905.0,9949.09,2551.872799
9852.84,9958.99,9852.0,9955.19,1743.651681
9991.44,10028.08,9988.18,10022.46,546.53866
9937.82,10070.0,9936.88,10035.0,2001.367011
10024.48,10025.0,9933.99,10001.57,953.4708
10043.05,10091.73,10015.0,10080.53,602.9908
9975.52,10000.0,9966.51,9983.33,332.200757
9984.01,9998.97,9950.0,9979.89,390.576971
9982.43,10049.05,9980.15,10035.28,532.994033
10033.13,10059.98,10003.51,10011.19,429.422228
10010.83,10036.0,9987.39,10035.11,329.621135
10035.83,10052.18,10023.75,10050.0,277.001513
10050.0,10053.64,10003.0,10014.69,403.306387
10015.06,10016.86,9966.18,10000.83,545.160899
10000.06,10066.41,9991.51,10046.39,479.131402
9797.65,9880.0,9797.0,9829.57,1733.146559
10000.51,10015.0,9956.35,9974.64,435.034571
9758.1,9828.11,9755.64,9798.52,2027.874729
9692.53,9777.0,9681.39,9706.14,1282.717604
9771.3,9774.9,9750.0,9750.61,314.264061
9751.43,9766.86,9729.51,9758.1,462.553563
9575.0,9689.02,9555.0,9654.13,1095.518022
9652.17,9699.0,9638.13,9691.42,692.266516
9693.22,9700.0,9640.0,9673.29,837.542
9672.65,9720.0,9670.0,9696.05,2005.169424
9697.47,9698.96,9670.0,9684.72,739.507828
9684.71,9692.64,9662.58,9665.88,768.131758
9667.08,9682.12,9631.06,9668.96,312.913665
9670.28,9677.0,9641.34,9642.5,269.698594
9641.67,9673.87,9641.21,9673.73,296.258609
9672.5,9699.99,9666.57,9693.02,403.450229
9665.82,9687.95,9655.61,9663.98,468.508961
9706.97,9771.68,9688.98,9761.16,654.464977
9753.71,9774.84,9742.6,9766.99,481.461829
9732.0,9766.83,9720.0,9754.15,488.028947
9755.73,9758.95,9718.59,9732.25,533.231462
9769.95,9772.54,9750.5,9755.73,401.874216
9766.93,9786.12,9747.87,9770.22,458.907353
9752.29,9766.59,9724.07,9733.71,459.847758
9777.02,9809.99,9735.7,9752.86,942.207125
9761.16,9790.0,9751.99,9777.02,777.737275
9734.86,9770.0,9730.2,9768.05,418.744622
10036.0,10105.04,10025.92,10085.44,1128.331096
10024.45,10041.55,10005.7,10027.4,595.883962
10028.0,10060.0,10019.11,10045.17,735.53051
10044.95,10047.61,9981.51,9996.37,728.130299
9997.0,10022.46,9973.75,9994.68,611.745352
9993.95,10005.27,9956.0,9999.39,523.640525
10001.1,10020.0,9993.12,10013.86,430.562348
10011.48,10055.0,9991.66,10035.81,719.438345
10035.87,10056.47,10033.42,10051.71,490.310965
10050.25,10070.0,10011.29,10035.98,473.025874
10085.44,10136.0,10073.53,10129.79,890.571532
10378.14,10397.33,10353.55,10374.99,588.45252
10170.36,10341.78,10168.55,10231.56,2825.338706
10230.22,10285.0,10194.0,10283.73,1125.16606
10283.71,10418.0,10270.3,10393.16,3042.26465
10393.08,10467.86,10355.0,10387.0,2115.109754
10387.01,10424.58,10338.0,10370.66,1121.937971
10371.06,10419.67,10355.03,10406.98,607.901847
10406.48,10430.82,10345.12,10363.71,963.064317
10365.52,10390.0,10351.0,10374.88,506.683043
10374.82,10408.31,10364.0,10379.4,1012.630848
10021.78,10026.83,9981.29,10024.33,739.575932
10129.79,10192.63,10121.44,10170.36,1559.296825
9962.86,10040.98,9960.0,10019.79,2126.826074
9965.93,9972.57,9863.46,9908.55,1589.580063
9942.92,9964.6,9925.02,9963.11,604.604746
10080.53,10155.06,10045.0,10055.92,1665.448723
10055.9,10078.99,10030.11,10043.02,569.064333
10043.0,10065.07,10000.21,10023.93,458.617476
10024.18,10028.0,9980.0,10020.29,780.425141
10022.0,10029.64,9988.88,10015.9,479.209901
10015.77,10038.56,10005.0,10029.27,402.235739
10027.47,10029.88,10001.01,10005.79,404.064143
10005.75,10009.9,9966.38,9988.02,764.394709
9989.61,9999.96,9949.39,9956.97,591.151953
9956.53,9978.99,9935.39,9977.28,650.449602
9978.49,9989.0,9962.19,9965.93,349.176819
9963.11,9977.99,9942.0,9962.86,453.591592
9908.56,9942.87,9890.69,9897.34,844.001827
9897.36,9972.22,9878.0,9956.7,1077.56374
9956.72,9990.0,9935.27,9970.36,733.253125
9970.35,9986.47,9951.1,9960.19,393.279766
9961.34,9994.0,9956.36,9986.1,347.832692
9986.92,9989.98,9965.17,9968.72,279.5241
9969.42,9973.96,9931.03,9932.41,534.213586
9933.56,9974.46,9924.05,9970.71,625.814382
9970.71,9972.86,9903.69,9932.81,1019.256888
9931.87,9949.89,9920.34,9943.99,449.462627
10501.29,10530.0,10350.0,10422.79,3242.403316
10612.1,10670.0,10400.0,10501.29,4165.978847
10623.74,10640.0,10591.24,10612.14,1286.348391
10588.47,10643.56,10545.0,10625.24,1255.783613
10511.18,10565.43,10503.13,10554.78,1085.447364
10545.5,10549.0,10508.0,10545.58,747.694575
10543.3,10545.49,10513.11,10544.88,555.046059
10556.22,10573.27,10507.36,10541.0,1511.550462
10421.39,10461.66,10386.55,10451.15,1385.059439
10545.58,10590.0,10522.26,10590.0,836.512265
10449.02,10469.35,10418.22,10441.33,913.803464
10444.0,10450.0,10413.0,10422.22,387.091331
10458.96,10466.0,10410.02,10456.24,764.168038
10456.03,10462.53,10415.05,10434.14,354.143684
10433.46,10455.0,10411.55,10444.41,584.570422
10534.48,10540.45,10494.11,10523.75,395.42044
10421.7,10424.42,10361.75,10383.07,779.987115
10383.07,10421.0,10351.24,10411.68,670.324469
10409.59,10458.92,10404.4,10408.77,487.163288
10407.74,10470.44,10401.63,10462.46,448.726654
10460.86,10528.0,10450.0,10515.16,737.852099
10467.08,10512.0,10462.17,10510.39,553.313531
10442.37,10480.76,10433.43,10460.0,1092.995715
10517.13,10545.0,10495.73,10531.42,568.479954
10502.86,10509.75,10465.0,10467.17,533.048292
10473.89,10511.98,10468.98,10495.8,540.560547
10496.52,10536.41,10483.18,10501.0,682.156993
10375.0,10440.61,10281.35,10344.49,1569.465165
10344.47,10382.06,10300.0,10374.99,747.567582
10373.7,10399.99,10362.44,10383.85,468.847507
10381.77,10384.95,10355.96,10384.93,300.800832
10382.4,10402.72,10372.06,10400.52,381.098197
10375.43,10410.0,10365.34,10381.11,473.829021
10381.84,10389.6,10322.1,10335.77,856.916393
10335.8,10360.64,10314.8,10356.17,427.759793
10356.8,10390.85,10356.06,10369.12,365.75625
10401.07,10406.76,10370.0,10376.98,577.705778
10392.94,10432.39,10376.68,10432.39,581.581055
10369.12,10415.57,10360.47,10395.0,543.857418
10490.0,10492.13,10435.78,10443.92,977.449109
10500.98,10540.18,10480.1,10488.25,791.482755
10474.19,10531.34,10474.19,10500.98,765.550188
10533.19,10534.59,10464.33,10478.15,975.837297
10440.28,10480.0,10439.94,10473.88,570.396905
10457.37,10570.0,10453.47,10535.41,1618.139213
10426.9,10500.0,10418.0,10455.31,1191.530462
10430.52,10485.0,10416.0,10426.82,1290.763492
10537.45,10557.86,10505.85,10531.45,948.479442
10793.54,10850.59,10789.0,10809.54,807.634134
10733.47,10817.04,10732.73,10817.03,1116.064698
10815.11,10828.55,10765.92,10796.0,756.387478
10795.2,10818.99,10777.87,10786.87,506.823597
10784.76,10801.3,10775.0,10791.48,315.751495
10791.94,10809.0,10730.0,10780.34,645.015611
10779.39,10784.44,10675.5,10733.05,828.709391
10733.17,10804.0,10710.0,10804.0,590.626723
10804.0,10820.0,10764.22,10793.54,751.535717
10829.55,10855.66,10796.4,10847.9,450.550088
10725.96,10739.96,10701.25,10731.85,383.541455
10846.22,10904.77,10844.41,10889.27,973.997427
10891.5,10895.01,10800.01,10850.6,918.88735
10851.14,10857.95,10812.04,10835.09,404.557871
10836.43,10880.0,10830.34,10877.8,248.620075
10879.34,10889.77,10850.52,10860.87,390.26019
10858.67,10858.67,10802.0,10830.86,387.722
10830.17,10832.33,10773.0,10817.09,493.379105
10818.27,10849.0,10806.0,10820.62,222.319361
10820.6,10826.0,10798.0,10814.33,260.614063
10814.05,10821.05,10775.47,10816.86,223.173101
10848.14,10870.66,10799.06,10845.98,805.604391
10741.97,10745.09,10662.15,10726.09,1190.794913
10808.23,10840.0,10785.92,10829.55,598.037367
10768.02,10783.34,10745.27,10766.57,276.298679
10514.1,10519.99,10497.93,10516.69,274.954265
10516.83,10644.44,10516.31,10628.57,986.668586
10628.57,10666.0,10592.5,10642.17,1973.224726
10641.43,10770.0,10590.17,10760.07,2310.046487
10760.21,10815.0,10740.0,10789.7,2223.518852
10789.04,10838.98,10758.81,10806.69,981.516153
10806.72,10829.1,10769.82,10778.52,994.310263
10780.68,10839.0,10777.86,10791.92,672.833471
10792.53,10849.29,10788.52,10846.31,600.879765
10846.06,10862.43,10720.0,10763.0,1476.815463
10760.58,10791.4,10730.03,10777.9,619.235466
10523.75,10555.07,10507.74,10514.17,551.98201
10777.93,10822.64,10777.9,10783.54,499.273661
10784.39,10800.0,10758.72,10798.99,388.065622
10797.32,10799.65,10769.21,10789.01,306.380128
10789.0,10848.63,10770.21,10827.78,553.815531
10828.29,10840.57,10788.16,10820.0,464.488957
10820.0,10824.62,10746.41,10784.85,557.413093
10785.6,10875.89,10731.0,10747.33,1184.408637
10745.7,10776.14,10700.0,10763.38,716.994296
10763.48,10780.0,10733.0,10752.52,343.446105
10752.52,10790.0,10742.2,10768.02,260.858662
10766.57,10776.93,10731.02,10743.92,314.282345
10919.02,10941.2,10906.0,10937.77,623.929991
10903.23,10924.98,10891.31,10918.2,1053.144514
10944.22,10992.1,10877.0,10905.46,1972.470211
10835.56,10973.53,10835.56,10944.15,2957.428861
10650.33,10703.0,10641.34,10673.53,427.748623
10684.98,10780.0,10683.36,10771.9,1271.835029
10658.36,10704.55,10655.68,10684.98,485.267939
10674.16,10678.07,10636.01,10657.86,402.395271
10937.78,10940.0,10851.0,10896.69,716.627282
10770.15,10865.75,10770.0,10837.13,2208.529504
10896.03,10914.37,10880.0,10897.8,432.011199
10941.84,10970.0,10891.0,10913.5,524.704858
10907.23,10937.21,10902.08,10908.39,316.009661
10909.2,10939.0,10896.3,10921.14,429.649335
10921.14,10964.82,10907.49,10945.1,412.208472
10913.42,10939.14,10777.0,10910.0,2116.602122
10910.0,10968.58,10905.02,10944.94,620.300147
10944.98,10977.0,10917.17,10975.0,484.105995
10975.0,11040.0,10930.0,10944.47,3150.019482
10944.52,10979.61,10901.0,10929.02,1040.99977
10929.31,10964.44,10917.55,10929.23,1017.015034
10689.1,10691.38,10630.84,10648.53,555.326664
10897.21,10943.68,10894.99,10906.9,554.735895
10669.23,10708.93,10665.0,10688.12,307.205516
10692.35,10699.26,10650.0,10668.56,374.083025
10716.07,10724.96,10687.32,10692.74,270.814031
10886.36,10890.0,10815.06,10833.66,784.698004
10833.85,10880.2,10828.83,10863.97,369.602159
10862.87,10868.1,10831.85,10849.11,347.268695
10849.11,10854.42,10800.0,10814.27,481.385628
10814.25,10820.0,10793.59,10804.0,341.953313
10804.0,10808.21,10781.02,10783.0,278.845155
10783.02,10784.98,10700.0,10755.02,1578.992089
10754.99,10757.24,10691.98,10696.05,799.29556
10696.05,10703.9,10577.77,10611.27,2435.750364
10609.77,10657.9,10552.0,10628.84,1137.675298
10816.86,10897.0,10805.0,10883.74,798.853363
10608.2,10677.78,10595.6,10677.7,552.028373
10677.66,10714.6,10666.81,10710.0,703.384511
10708.03,10714.16,10680.6,10683.44,375.327298
10683.44,10698.57,10645.0,10670.0,678.055304
10668.74,10702.66,10660.2,10694.21,458.185363
10694.21,10706.8,10660.18,10662.99,364.435295
10662.99,10690.0,10629.46,10684.76,494.079349
10684.65,10739.78,10678.77,10739.47,565.97544
10738.77,10742.29,10694.08,10713.5,593.264545
10713.5,10729.17,10680.02,10716.8,291.411386
10630.0,10670.67,10603.98,10609.68,769.110218
11785.02,11900.0,11756.8,11864.38,2023.767394
11747.58,11793.0,11715.0,11785.04,956.69088
11699.0,11767.88,11681.06,11749.97,849.9749
11755.38,11795.0,11713.0,11790.65,762.269991
11762.59,11810.61,11728.0,11775.07,1525.89811
11745.02,11770.0,11720.82,11762.61,700.767749
11793.07,11793.08,11716.42,11745.0,983.834961
11862.02,11937.52,11845.52,11899.74,2221.488458
11775.13,11775.13,11653.12,11698.02,2120.60687
11898.41,11901.58,11750.0,11775.6,1499.326545
11770.0,11777.0,11705.0,11732.03,700.849191
11813.48,11843.66,11785.0,11809.51,612.499537
11809.74,11822.22,11761.88,11772.0,751.690579
11771.98,11795.0,11750.0,11752.44,683.499734
11751.5,11840.0,11702.55,11770.36,2019.964746
11733.54,11780.0,11700.0,11722.45,654.200342
11724.83,11794.0,11723.67,11742.41,496.838369
11742.41,11858.2,11730.0,11785.12,1070.581725
11785.12,11823.99,11755.01,11809.84,462.159334
11811.0,11811.3,11760.0,11791.03,480.769905
11714.78,11800.0,11700.0,11755.05,1824.348335
11773.88,11871.38,11753.82,11813.68,986.734033
11776.52,11800.0,11708.72,11711.0,1634.474372
11792.41,11850.0,11786.03,11828.8,680.458213
11616.61,11710.95,11577.0,11705.41,1561.675446
10929.99,11020.0,10927.8,10990.87,951.319613
10990.87,11198.0,10980.0,11177.15,2311.486907
11178.11,11291.0,11149.68,11271.59,1999.364616
11270.95,11460.0,11268.01,11409.94,3879.412095
11409.17,11451.82,11355.83,11399.0,1756.768875
11399.0,11600.0,11398.51,11600.0,2374.604773
11599.49,11648.0,11465.39,11518.79,2075.966838
11517.55,11568.0,11480.48,11562.97,1115.995868
11564.87,11602.53,11541.0,11568.94,1097.380706
11568.92,11579.0,11521.52,11562.0,973.051706
11562.0,11562.0,11514.0,11547.62,665.258097
11705.02,11778.76,11672.09,11777.64,1696.774561
11530.08,11556.0,11484.65,11538.94,953.394781
11540.0,11634.4,11537.0,11607.32,1171.972484
11607.32,11779.54,11591.02,11767.19,2229.123699
11767.19,11848.0,11651.0,11671.2,2757.894498
11673.31,11732.61,11653.06,11713.61,1690.296378
11713.61,11750.0,11659.12,11749.46,1189.3204
11749.46,11749.99,11670.84,11686.18,926.528337
11686.28,11727.81,11666.36,11720.0,886.595433
11721.51,11774.0,11665.0,11673.11,1683.611062
11675.59,11718.0,11550.44,11616.54,1796.887984
11549.58,11571.85,11525.0,11531.67,705.294283
11728.58,11800.0,11725.05,11788.62,1023.135934
11700.0,11729.99,11666.66,11727.04,707.196269
11716.97,11760.93,11680.0,11700.0,1188.153101
11705.22,11768.06,11651.25,11768.0,1416.855317
11762.71,11768.69,11680.77,11739.99,860.299579
11799.84,11800.0,11752.0,11762.71,668.263733
11768.0,11799.99,11725.01,11799.96,951.999199
11788.63,11836.0,11767.0,11793.71,1650.074564
11738.02,11745.0,11680.02,11716.01,750.728788
11793.71,11803.85,11693.27,11713.34,1082.818753
11695.03,11701.0,11615.05,11674.38,781.331989
11715.82,11750.0,11682.13,11734.08,1083.437602
11735.41,11750.0,11634.21,11685.35,1033.744557
11681.48,11761.4,11639.24,11710.0,856.988395
11709.62,11747.0,11685.0,11695.03,550.586927
11674.39,11677.16,11365.01,11418.75,3098.86363
11419.29,11453.48,11326.0,11382.41,2545.769878
11385.0,11447.0,11345.0,11371.63,1204.583814
11373.0,11389.99,11226.7,11322.55,2485.456342
11325.1,11420.57,11292.73,11411.28,981.645512
11703.85,11741.91,11570.03,11704.05,2833.856237
11713.34,11733.33,11705.23,11715.8,353.709509
11775.79,11797.94,11665.0,11704.61,2098.088806
11413.97,11515.0,11409.71,11481.69,1682.949402
11748.03,11841.37,11680.0,11821.0,2501.5789
11830.0,11839.82,11705.0,11810.0,1247.94316
11810.55,11834.95,11775.86,11779.93,669.287901
11779.93,11810.74,11700.0,11700.36,1071.407943
11704.28,11720.0,11570.0,11692.8,3066.874824
11694.92,11696.03,11572.41,11601.0,1687.835978
11599.98,11698.96,11599.98,11664.9,748.875034
11665.0,11734.95,11655.0,11728.67,949.032611
11729.96,11730.32,11693.09,11709.82,961.404388
11708.3,11712.55,11650.62,11693.61,593.024772
11693.61,11710.0,11671.7,11702.47,397.914786
11702.47,11769.26,11695.63,11757.53,792.140592
11823.1,11846.63,11731.37,11777.65,1257.492377
11827.92,11917.58,11810.83,11876.26,2002.25469
11878.66,12199.0,11873.47,12145.08,6361.295932
12145.06,12330.7,12134.51,12226.7,4583.737231
12229.12,12231.31,12151.01,12185.24,1405.5553
12185.37,12258.57,12176.0,12228.74,1071.738419
12228.74,12239.19,12176.0,12202.35,938.367584
12202.39,12227.47,12196.57,12200.9,629.13073
12200.0,12259.52,12200.0,12220.36,830.873291
12219.94,12295.0,12215.02,12221.97,1468.009116
12218.03,12225.09,11600.0,11748.89,8310.718524
11757.55,11828.3,11750.0,11827.92,1268.357955
11669.05,11690.0,11487.0,11674.59,3111.28468
11662.75,11725.01,11641.0,11669.87,1495.832285
11688.34,11735.0,11611.0,11662.75,1564.523313
12064.47,12093.18,11622.0,11688.34,5349.435238
11719.17,11787.66,11707.08,11783.59,975.489711
12034.84,12114.72,12011.9,12054.02,1630.996928
12081.31,12083.5,12000.0,12034.25,2222.379309
11785.68,12141.17,11783.81,12079.05,8247.327131
11675.0,11695.0,11630.52,11673.87,904.859093
12052.2,12085.0,12030.95,12064.94,963.038875
11673.91,11793.53,11666.01,11790.39,1612.457356
11792.25,11935.56,11791.01,11923.56,1500.678581
11817.09,11820.55,11750.0,11750.14,725.71697
11751.0,11797.35,11669.99,11785.11,1133.774566
11789.69,11818.96,11759.46,11792.77,886.538668
11925.06,11976.08,11616.0,11895.67,2795.119466
11897.07,11974.94,11805.8,11911.71,1279.972108
11911.71,12079.51,11862.29,11945.12,2035.069017
11945.12,12030.0,11919.98,11997.73,921.776697
11994.56,12016.13,11883.03,11971.58,2241.108329
11971.58,12016.02,11955.71,11979.92,835.597152
11743.09,11800.0,11710.0,11719.17,1636.818504
11790.39,11822.0,11750.0,11817.09,1562.779519
11979.9,12010.0,11827.04,11975.03,1379.579628
11644.14,11745.81,11644.14,11743.94,1906.047889
11691.3,11695.0,11635.14,11638.66,1191.524257
11635.15,11657.57,11585.0,11648.29,668.964741
