Open,High,Low,Close,Volume
16.0,16.0,16.0,1.4142,1000
16.3,16.3,16.3,1.4407,300
16.6,16.6,16.6,1.4673,100
16.9,16.9,16.9,1.4938,200
17.2,17.2,17.2,1.5203,2800
17.5,17.5,17.5,1.5468,500
17.8,17.8,17.8,1.5733,11000
18.1,18.1,18.1,1.5998,7800
18.4,18.4,18.4,1.6264,7100
18.7,18.7,18.7,1.6529,3100
19.0,19.0,19.0,1.6794,10100
19.3,19.3,19.3,1.7059,42200
19.0,19.0,19.0,1.6794,18900
1.6525,1.6525,1.6525,1.6529,36500
1.6264,1.6264,1.6264,1.6264,9700
1.5999,1.5999,1.5999,1.5998,25500
1.5733,1.5733,1.5733,1.5733,2800
1.5468,1.5468,1.5468,1.5468,35900
1.5733,1.5733,1.5733,1.5733,26500
1.5998,1.5998,1.5998,1.5998,1400
1.6263,1.6263,1.6263,1.6264,35200
1.5999,1.5999,1.5999,1.5998,12600
1.6263,1.6263,1.6263,1.6264,8800
1.5999,1.5999,1.5999,1.5998,7100
1.5998,1.5998,1.5998,1.5998,7300
1.5998,1.5998,1.5998,1.5998,18700
1.6086,1.6086,1.6086,1.6087,18500
1.6087,1.6087,1.6087,1.6087,19200
1.6087,1.6087,1.6087,1.6087,17100
1.6087,1.6087,1.6087,1.6087,16200
1.6352,1.6352,1.6352,1.6352,9400
1.6617,1.6617,1.6617,1.6617,12600
1.6882,1.6882,1.6882,1.6882,35400
1.7147,1.7147,1.7147,1.7147,7400
1.7412,1.7412,1.7412,1.7413,12100
1.7678,1.7678,1.7678,1.7678,19900
1.8032,1.8032,1.8032,1.8031,18700
1.8385,1.8385,1.8385,1.8385,13500
1.8739,1.8739,1.8739,1.8739,43000
1.8739,1.8739,1.8739,1.8739,42200
1.9093,1.9093,1.9093,1.9092,50800
1.9446,1.9446,1.9446,1.9446,13900
1.98,1.98,1.98,1.9799,3100
2.0153,2.0153,2.0153,2.0153,12700
2.0507,2.0507,2.0507,2.0506,4700
2.086,2.086,2.086,2.086,800
2.1214,2.1214,2.1214,2.1213,200
2.1567,2.1567,2.1567,2.1567,8300
2.1921,2.1921,2.1921,2.1921,7200
2.2275,2.2275,2.2275,2.2274,59700
2.2716,2.2716,2.2716,2.2716,56700
2.3158,2.3158,2.3158,2.3158,48500
2.36,2.36,2.36,2.36,23900
2.4042,2.4042,2.4042,2.4042,5900
2.4484,2.4484,2.4484,2.4484,5000
2.4926,2.4926,2.4926,2.4926,5000
2.5368,2.5368,2.5368,2.5368,1200
2.581,2.581,2.581,2.581,4500
2.6252,2.6252,2.6252,2.6252,19100
2.6694,2.6694,2.6694,2.6694,10500
2.7224,2.7224,2.7224,2.7224,1500
2.7754,2.7754,2.7754,2.7754,400
2.8284,2.8284,2.8284,2.8285,7300
2.8815,2.8815,2.8815,2.8815,700
2.8461,2.8461,2.8461,2.8461,5400
2.8991,2.8991,2.8991,2.8992,7800
2.9522,2.9522,2.9522,2.9522,7500
3.0052,3.0052,3.0052,3.0052,6800
3.0582,3.0582,3.0582,3.0583,16200
3.1113,3.1113,3.1113,3.1113,8500
3.1732,3.1732,3.1732,3.1732,26500
3.2351,3.2351,3.2351,3.235,18600
3.2969,3.2969,3.2969,3.2969,10500
3.3588,3.3588,3.3588,3.3588,200
3.4207,3.4207,3.4207,3.4207,500
3.4826,3.4826,3.4826,3.4825,400
3.5444,3.5444,3.5444,3.5444,200
3.6151,3.6151,3.6151,3.6151,600
3.6858,3.6858,3.6858,3.6858,600
3.6151,3.6151,3.6151,3.6151,145800
3.5444,3.5444,3.5444,3.5444,52900
3.4737,3.4737,3.4737,3.4737,33700
3.4118,3.4118,3.4118,3.4118,7400
3.3499,3.3499,3.3499,3.3499,10700
3.4118,3.4118,3.4118,3.4118,102200
3.4737,3.4737,3.4737,3.4737,28400
3.5356,3.5356,3.5356,3.5356,11100
3.4649,3.4649,3.4649,3.4649,125000
3.5268,3.5268,3.5268,3.5267,98300
3.4648,3.4648,3.4648,3.4649,31800
3.403,3.403,3.403,3.403,8900
3.4649,3.4649,3.4649,3.4649,21900
3.5268,3.5268,3.5268,3.5267,37900
3.5532,3.5532,3.5532,3.5532,41700
3.5532,3.5532,3.5532,3.5532,39400
3.5532,3.5532,3.5532,3.5532,98100
3.5532,3.5532,3.5532,3.5532,36100
3.4825,3.4825,3.4825,3.4825,17900
3.4295,3.4295,3.4295,3.4295,20500
3.4914,3.4914,3.4914,3.4914,13400
3.5533,3.5533,3.5533,3.5532,19100
3.6239,3.6239,3.6239,3.624,17600
3.6947,3.6947,3.6947,3.6947,7200
3.7654,3.7654,3.7654,3.7654,16600
3.8361,3.8361,3.8361,3.8361,21600
3.9068,3.9068,3.9068,3.9068,36700
3.9775,3.9775,3.9775,3.9775,39100
4.0571,4.0571,4.0571,4.0571,30900
4.1367,4.1367,4.1367,4.1366,32900
4.2161,4.2161,4.2161,4.2162,28400
4.1366,4.1366,4.1366,4.1366,156300
4.2161,4.2161,4.2161,4.2162,56400
4.2958,4.2958,4.2958,4.2957,20400
4.3753,4.3753,4.3753,4.3753,11500
4.4195,4.4195,4.4195,4.4195,16800
4.5079,4.5079,4.5079,4.5078,22400
4.5962,4.5962,4.5962,4.5962,80200
4.6846,4.6846,4.6846,4.6846,3600
4.773,4.773,4.773,4.773,3200
4.8614,4.8614,4.8614,4.8614,400
4.9498,4.9498,4.9498,4.9498,1100
5.0382,5.0382,5.0382,5.0382,100
5.1266,5.1266,5.1266,5.1266,16800
5.215,5.215,5.215,5.215,13000
5.3034,5.3034,5.3034,5.3033,5800
5.3917,5.3917,5.3917,5.3917,6500
5.4801,5.4801,5.4801,5.4801,9100
5.5685,5.5685,5.5685,5.5685,9200
5.6569,5.6569,5.6569,5.6569,9000
5.7453,5.7453,5.7453,5.7453,41100
5.8337,5.8337,5.8337,5.8337,102100
6.2315,6.2315,6.2315,6.2314,27100
6.6291,6.6291,6.6291,6.6292,14600
7.0711,7.0711,7.0711,7.0711,20900
7.5572,7.5572,7.5572,7.5573,22600
8.0434,8.0434,8.0434,8.0434,38900
8.397,8.397,8.397,8.397,88600
7.8225,7.8225,7.8225,7.8224,10200
7.2921,7.2921,7.2921,7.2921,6900
6.806,6.806,6.806,6.806,13300
7.2479,7.2479,7.2479,7.2479,92300
7.0711,7.0711,7.0711,7.0711,80900
6.585,6.585,6.585,6.585,23900
6.0989,6.0989,6.0989,6.0989,12700
5.7011,5.7011,5.7011,5.7011,42200
5.6569,5.6569,5.6569,5.6569,54900
6.0105,6.0105,6.0105,6.0105,16300
6.4083,6.4083,6.4083,6.4082,12500
5.9663,5.9663,5.9663,5.9663,87000
6.1873,6.1873,6.1873,6.1872,34100
6.0988,6.0988,6.0988,6.0989,19100
5.7453,5.7453,5.7453,5.7453,22400
5.3475,5.3475,5.3475,5.3475,33700
4.9939,4.9939,4.9939,4.994,8600
4.6846,4.6846,4.6846,4.6846,12000
4.994,4.994,4.994,4.994,66700
5.3034,5.3034,5.3034,5.3033,92100
4.9497,4.9497,4.9497,4.9498,13700
4.6404,4.6404,4.6404,4.6404,9000
4.3222,4.3222,4.3222,4.3222,17300
4.0305,4.0305,4.0305,4.0305,62400
4.3045,4.3045,4.3045,4.3046,54000
4.0041,4.0041,4.0041,4.004,19200
